"","Category_code","COG","Annotation","Category"
"86","C","COG3125","Heme/copper-type cytochrome/quinol oxidase, subunit 4","Energy production and conversion"
"87","C","COG2041","Periplasmic DMSO/TMAO reductase YedYZ, molybdopterin-dependent catalytic subunit","Energy production and conversion"
"88","C","COG3181","Tripartite-type tricarboxylate transporter, receptor component TctC","Energy production and conversion"
"89","C","COG0435","Glutathionyl-hydroquinone reductase","Energy production and conversion"
"90","C","COG1454","Alcohol dehydrogenase, class IV","Energy production and conversion"
"91","C","COG3278","Cbb3-type cytochrome oxidase, subunit 1","Energy production and conversion"
"92","C","COG1038","Pyruvate carboxylase","Energy production and conversion"
"93","C","COG4660","Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfE subunit","Energy production and conversion"
"94","C","COG0045","Succinyl-CoA synthetase, beta subunit","Energy production and conversion"
"95","C","COG2352","Phosphoenolpyruvate carboxylase","Energy production and conversion"
"96","C","COG4078","Energy-converting hydrogenase Eha subunit H","Energy production and conversion"
"97","C","COG4038","Energy-converting hydrogenase Eha subunit E","Energy production and conversion"
"98","C","COG3288","NAD/NADP transhydrogenase alpha subunit","Energy production and conversion"
"99","C","COG0538","Isocitrate dehydrogenase","Energy production and conversion"
"100","C","COG4802","Ferredoxin-thioredoxin reductase, catalytic subunit","Energy production and conversion"
"101","C","COG3426","Butyrate kinase","Energy production and conversion"
"102","C","COG0039","Malate/lactate dehydrogenase","Energy production and conversion"
"103","C","COG1838","Tartrate dehydratase beta subunit/Fumarate hydratase class I, C-terminal domain","Energy production and conversion"
"104","C","COG1290","Cytochrome b subunit of the bc complex","Energy production and conversion"
"105","C","COG0056","FoF1-type ATP synthase, alpha subunit","Energy production and conversion"
"106","C","COG1007","NADH:ubiquinone oxidoreductase subunit 2 (chain N)","Energy production and conversion"
"107","C","COG5012","Methanogenic corrinoid protein MtbC1","Energy production and conversion"
"108","C","COG3808","Na+ or H+-translocating membrane pyrophosphatase","Energy production and conversion"
"109","C","COG2048","Heterodisulfide reductase, subunit B","Energy production and conversion"
"110","C","COG1927","F420-dependent methylenetetrahydromethanopterin dehydrogenase","Energy production and conversion"
"111","C","COG1845","Heme/copper-type cytochrome/quinol oxidase, subunit 3","Energy production and conversion"
"112","C","COG1805","Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrB","Energy production and conversion"
"113","C","COG2838","Monomeric isocitrate dehydrogenase","Energy production and conversion"
"114","C","COG0633","Ferredoxin","Energy production and conversion"
"115","C","COG3261","Ni,Fe-hydrogenase III large subunit","Energy production and conversion"
"116","C","COG1894","NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F)","Energy production and conversion"
"117","C","COG1141","Ferredoxin","Energy production and conversion"
"118","C","COG0431","NAD(P)H-dependent FMN reductase","Energy production and conversion"
"119","C","COG0723","Rieske Fe-S protein","Energy production and conversion"
"120","C","COG1150","Heterodisulfide reductase, subunit C","Energy production and conversion"
"121","C","COG0843","Heme/copper-type cytochrome/quinol oxidase, subunit 1","Energy production and conversion"
"122","C","COG1282","NAD/NADP transhydrogenase beta subunit","Energy production and conversion"
"123","C","COG0074","Succinyl-CoA synthetase, alpha subunit","Energy production and conversion"
"124","C","COG3038","Cytochrome b561","Energy production and conversion"
"125","C","COG0479","Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit","Energy production and conversion"
"126","C","COG4736","Cbb3-type cytochrome oxidase, subunit 3","Energy production and conversion"
"127","C","COG4654","Cytochrome c551/c552","Energy production and conversion"
"128","C","COG0650","Formate hydrogenlyase subunit 4","Energy production and conversion"
"129","C","COG1249","Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component or related enzyme","Energy production and conversion"
"130","C","COG1620","L-lactate permease","Energy production and conversion"
"131","C","COG2069","CO dehydrogenase/acetyl-CoA synthase delta subunit (corrinoid Fe-S protein)","Energy production and conversion"
"132","C","COG1034","NADH dehydrogenase/NADH:ubiquinone oxidoreductase 75 kD subunit (chain G)","Energy production and conversion"
"133","C","COG4659","Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfG subunit","Energy production and conversion"
"134","C","COG1252","NADH dehydrogenase, FAD-containing subunit","Energy production and conversion"
"135","C","COG3005","Tetraheme cytochrome c subunit of nitrate or TMAO reductase","Energy production and conversion"
"136","C","COG2033","Desulfoferrodoxin, superoxide reductase-like (SORL) domain","Energy production and conversion"
"137","C","COG0778","Nitroreductase","Energy production and conversion"
"138","C","COG4237","Hydrogenase-4 membrane subunit HyfE","Energy production and conversion"
"139","C","COG5127","Vacuolar H+-ATPase V1 sector, subunit C ","Energy production and conversion"
"140","C","COG1049","Aconitase B","Energy production and conversion"
"141","C","COG1048","Aconitase A","Energy production and conversion"
"142","C","COG1301","Na+/H+-dicarboxylate symporter","Energy production and conversion"
"143","C","COG0374","Ni,Fe-hydrogenase I large subunit","Energy production and conversion"
"144","C","COG4041","Energy-converting hydrogenase Eha subunit B","Energy production and conversion"
"145","C","COG1883","Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, beta subunit","Energy production and conversion"
"146","C","COG1152","CO dehydrogenase/acetyl-CoA synthase alpha subunit","Energy production and conversion"
"147","C","COG1008","NADH:ubiquinone oxidoreductase subunit 4 (chain M)","Energy production and conversion"
"148","C","COG1880","CO dehydrogenase/acetyl-CoA synthase epsilon subunit","Energy production and conversion"
"149","C","COG2086","Electron transfer flavoprotein, alpha and beta subunits","Energy production and conversion"
"150","C","COG1969","Ni,Fe-hydrogenase I cytochrome b subunit","Energy production and conversion"
"151","C","COG5016","Pyruvate/oxaloacetate carboxyltransferase","Energy production and conversion"
"152","C","COG1556","L-lactate utilization protein LutC, contains LUD domain","Energy production and conversion"
"153","C","COG4106","Trans-aconitate methyltransferase","Energy production and conversion"
"154","C","COG0022","Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component","Energy production and conversion"
"155","C","COG0838","NADH:ubiquinone oxidoreductase subunit 3 (chain A)","Energy production and conversion"
"156","C","COG0348","Polyferredoxin","Energy production and conversion"
"157","C","COG1319","CO or xanthine dehydrogenase, FAD-binding subunit","Energy production and conversion"
"158","C","COG3069","C4-dicarboxylate transporter","Energy production and conversion"
"159","C","COG0644","Dehydrogenase (flavoprotein)","Energy production and conversion"
"160","C","COG0680","Ni,Fe-hydrogenase maturation factor","Energy production and conversion"
"161","C","COG1526","Formate dehydrogenase assembly factor FdhD","Energy production and conversion"
"162","C","COG1071","TPP-dependent pyruvate or acetoin dehydrogenase subunit alpha","Energy production and conversion"
"163","C","COG3241","Azurin","Energy production and conversion"
"164","C","COG3493","Na+/citrate or Na+/malate symporter","Energy production and conversion"
"165","C","COG3245","Cytochrome c5","Energy production and conversion"
"166","C","COG4037","Energy-converting hydrogenase Eha subunit F","Energy production and conversion"
"167","C","COG2869","Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrC","Energy production and conversion"
"168","C","COG1908","Coenzyme F420-reducing hydrogenase, delta subunit","Energy production and conversion"
"169","C","COG0282","Acetate kinase","Energy production and conversion"
"170","C","COG1035","Coenzyme F420-reducing hydrogenase, beta subunit","Energy production and conversion"
"171","C","COG0281","Malic enzyme","Energy production and conversion"
"172","C","COG2414","Aldehyde:ferredoxin oxidoreductase","Energy production and conversion"
"173","C","COG4656","Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfC subunit","Energy production and conversion"
"174","C","COG2037","Formylmethanofuran:tetrahydromethanopterin formyltransferase","Energy production and conversion"
"175","C","COG0243","Anaerobic selenocysteine-containing dehydrogenase","Energy production and conversion"
"176","C","COG1622","Heme/copper-type cytochrome/quinol oxidase, subunit 2","Energy production and conversion"
"177","C","COG1584","Succinate-acetate transporter protein","Energy production and conversion"
"178","C","COG0371","Glycerol dehydrogenase or related enzyme, iron-containing ADH family","Energy production and conversion"
"179","C","COG1143","Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)","Energy production and conversion"
"180","C","COG3052","Citrate lyase, gamma subunit","Energy production and conversion"
"181","C","COG0372","Citrate synthase","Energy production and conversion"
"182","C","COG2080","Aerobic-type carbon monoxide dehydrogenase, small subunit, CoxS/CutS family","Energy production and conversion"
"183","C","COG4042","Energy-converting hydrogenase Eha subunit A","Energy production and conversion"
"184","C","COG3761","NADH:ubiquinone oxidoreductase 17.2 kD subunit","Energy production and conversion"
"185","C","COG1153","Formylmethanofuran dehydrogenase subunit D","Energy production and conversion"
"186","C","COG3909","Cytochrome c556","Energy production and conversion"
"187","C","COG1005","NADH:ubiquinone oxidoreductase subunit 1 (chain H)","Energy production and conversion"
"188","C","COG2055","Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family","Energy production and conversion"
"189","C","COG0377","NADH:ubiquinone oxidoreductase 20 kD subunit (chhain B) or related Fe-S oxidoreductase","Energy production and conversion"
"190","C","COG1592","Rubrerythrin","Energy production and conversion"
"191","C","COG0711","FoF1-type ATP synthase, membrane subunit b or b'","Energy production and conversion"
"192","C","COG3658","Cytochrome b","Energy production and conversion"
"193","C","COG2142","Succinate dehydrogenase, hydrophobic anchor subunit","Energy production and conversion"
"194","C","COG2010","Cytochrome c, mono- and diheme variants","Energy production and conversion"
"195","C","COG1274","Phosphoenolpyruvate carboxykinase, GTP-dependent","Energy production and conversion"
"196","C","COG2440","Ferredoxin-like protein FixX","Energy production and conversion"
"197","C","COG4147","Na+(or H+)/acetate symporter ActP","Energy production and conversion"
"198","C","COG3794","Plastocyanin","Energy production and conversion"
"199","C","COG0567","2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes","Energy production and conversion"
"200","C","COG1853","NADH-FMN oxidoreductase RutF, flavin reductase (DIM6/NTAB) family","Energy production and conversion"
"201","C","COG2871","Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrF","Energy production and conversion"
"202","C","COG1359","Quinol monooxygenase YgiN","Energy production and conversion"
"203","C","COG1156","Archaeal/vacuolar-type H+-ATPase subunit B/Vma2","Energy production and conversion"
"204","C","COG5557","Ni/Fe-hydrogenase 2 integral membrane subunit HybB","Energy production and conversion"
"205","C","COG1294","Cytochrome bd-type quinol oxidase, subunit 2","Energy production and conversion"
"206","C","COG1254","Acylphosphatase","Energy production and conversion"
"207","C","COG1527","Archaeal/vacuolar-type H+-ATPase subunit C/Vma6","Energy production and conversion"
"208","C","COG1529","CO or xanthine dehydrogenase, Mo-binding subunit","Energy production and conversion"
"209","C","COG3080","Fumarate reductase subunit D","Energy production and conversion"
"210","C","COG2191","Formylmethanofuran dehydrogenase subunit E","Energy production and conversion"
"211","C","COG1018","Ferredoxin-NADP reductase","Energy production and conversion"
"212","C","COG3029","Fumarate reductase subunit C","Energy production and conversion"
"213","C","COG1726","Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrA","Energy production and conversion"
"214","C","COG3474","Cytochrome c2","Energy production and conversion"
"215","C","COG3630","Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, gamma subunit","Energy production and conversion"
"216","C","COG0655","Multimeric flavodoxin WrbA","Energy production and conversion"
"217","C","COG1251","NAD(P)H-nitrite reductase, large subunit","Energy production and conversion"
"218","C","COG4657","Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfA subunit","Energy production and conversion"
"219","C","COG3312","FoF1-type ATP synthase assembly protein I","Energy production and conversion"
"220","C","COG3259","Coenzyme F420-reducing hydrogenase, alpha subunit","Energy production and conversion"
"221","C","COG3260","Ni,Fe-hydrogenase III small subunit","Energy production and conversion"
"222","C","COG4624","Iron only hydrogenase large subunit, C-terminal domain","Energy production and conversion"
"223","C","COG3427","Carbon monoxide dehydrogenase subunit G","Energy production and conversion"
"224","C","COG2828","2-Methylaconitate cis-trans-isomerase PrpF (2-methyl citrate pathway)","Energy production and conversion"
"225","C","COG1740","Ni,Fe-hydrogenase I small subunit","Energy production and conversion"
"226","C","COG0716","Flavodoxin","Energy production and conversion"
"227","C","COG0636","FoF1-type ATP synthase, membrane subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K","Energy production and conversion"
"228","C","COG5231","Vacuolar H+-ATPase V1 sector, subunit H ","Energy production and conversion"
"229","C","COG1155","Archaeal/vacuolar-type H+-ATPase catalytic subunit A/Vma1","Energy production and conversion"
"230","C","COG4658","Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfD subunit","Energy production and conversion"
"231","C","COG0427","Acyl-CoA hydrolase","Energy production and conversion"
"232","C","COG2857","Cytochrome c1","Energy production and conversion"
"233","C","COG4459","Periplasmic nitrate reductase system, NapE component","Energy production and conversion"
"234","C","COG1144","Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, delta subunit","Energy production and conversion"
"235","C","COG0277","FAD/FMN-containing dehydrogenase","Energy production and conversion"
"236","C","COG1436","Archaeal/vacuolar-type H+-ATPase subunit F/Vma7","Energy production and conversion"
"237","C","COG0554","Glycerol kinase","Energy production and conversion"
"238","C","COG0224","FoF1-type ATP synthase, gamma subunit","Energy production and conversion"
"239","C","COG0247","Fe-S oxidoreductase","Energy production and conversion"
"240","C","COG0674","Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit","Energy production and conversion"
"241","C","COG1951","Tartrate dehydratase alpha subunit/Fumarate hydratase class I, N-terminal domain","Energy production and conversion"
"242","C","COG1866","Phosphoenolpyruvate carboxykinase, ATP-dependent","Energy production and conversion"
"243","C","COG1905","NADH:ubiquinone oxidoreductase 24 kD subunit (chain E)","Energy production and conversion"
"244","C","COG0280","Phosphotransacetylase","Energy production and conversion"
"245","C","COG1902","2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family","Energy production and conversion"
"246","C","COG3202","ATP/ADP translocase","Energy production and conversion"
"247","C","COG2009","Succinate dehydrogenase/fumarate reductase, cytochrome b subunit","Energy production and conversion"
"248","C","COG2851","Mg2+/citrate symporter","Energy production and conversion"
"249","C","COG2609","Pyruvate dehydrogenase complex, dehydrogenase (E1) component","Energy production and conversion"
"250","C","COG1394","Archaeal/vacuolar-type H+-ATPase subunit D/Vma8","Energy production and conversion"
"251","C","COG1014","Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit","Energy production and conversion"
"252","C","COG0426","Flavorubredoxin","Energy production and conversion"
"253","C","COG3978","Acetolactate synthase small subunit, contains ACT domain","Energy production and conversion"
"254","C","COG1042","Acyl-CoA synthetase (NDP forming)","Energy production and conversion"
"255","C","COG0508","Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component","Energy production and conversion"
"256","C","COG2025","Electron transfer flavoprotein, alpha subunit","Energy production and conversion"
"257","C","COG2225","Malate synthase","Energy production and conversion"
"258","C","COG4074","5,10-methenyltetrahydromethanopterin hydrogenase","Energy production and conversion"
"259","C","COG1271","Cytochrome bd-type quinol oxidase, subunit 1","Energy production and conversion"
"260","C","COG4036","Energy-converting hydrogenase Eha subunit G","Energy production and conversion"
"261","C","COG0649","NADH:ubiquinone oxidoreductase 49 kD subunit (chain D)","Energy production and conversion"
"262","C","COG2878","Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfB subunit","Energy production and conversion"
"263","C","COG2326","Polyphosphate kinase 2, PPK2 family","Energy production and conversion"
"264","C","COG1148","Heterodisulfide reductase, subunit A (polyferredoxin)","Energy production and conversion"
"265","C","COG0356","FoF1-type ATP synthase, membrane subunit a","Energy production and conversion"
"266","C","COG1017","Hemoglobin-like flavoprotein","Energy production and conversion"
"267","C","COG1614","CO dehydrogenase/acetyl-CoA synthase beta subunit","Energy production and conversion"
"268","C","COG3258","Cytochrome c","Energy production and conversion"
"269","C","COG2993","Cbb3-type cytochrome oxidase, cytochrome c subunit","Energy production and conversion"
"270","C","COG1269","Archaeal/vacuolar-type H+-ATPase subunit I/STV1","Energy production and conversion"
"271","D","COG0849","Cell division ATPase FtsA","Cell cycle control, cell division, chromosome partitioning"
"272","D","COG5279","Cytokinesis protein 3, contains TGc (transglutaminase/protease-like) domain","Cell cycle control, cell division, chromosome partitioning"
"273","D","COG2719","Stage V sporulation protein SpoVR/YcgB, involved in spore cortex formation (function unknown)","Cell cycle control, cell division, chromosome partitioning"
"274","D","COG3660","Mitochondrial fission protein ELM1","Cell cycle control, cell division, chromosome partitioning"
"275","D","COG3006","Chromosome condensin MukBEF complex, kleisin-like MukF subunit","Cell cycle control, cell division, chromosome partitioning"
"276","D","COG5491","Archaeal division protein CdvB, Snf7/Vps24/ESCRT-III family","Cell cycle control, cell division, chromosome partitioning"
"277","D","COG0206","Cell division GTPase FtsZ","Cell cycle control, cell division, chromosome partitioning"
"278","D","COG5156","Anaphase-promoting complex (APC), subunit 10 ","Cell cycle control, cell division, chromosome partitioning"
"279","D","COG5401","Spore germination protein GerM","Cell cycle control, cell division, chromosome partitioning"
"280","D","COG5072","Serine/threonine kinase of the haspin family ","Cell cycle control, cell division, chromosome partitioning"
"281","D","COG5124","Protein predicted to be involved in meiotic recombination ","Cell cycle control, cell division, chromosome partitioning"
"282","D","COG2917","Intracellular septation protein A","Cell cycle control, cell division, chromosome partitioning"
"283","D","COG0772","Bacterial cell division protein FtsW, lipid II flippase","Cell cycle control, cell division, chromosome partitioning"
"284","D","COG3074","Cell division protein ZapB, interacts with FtsZ","Cell cycle control, cell division, chromosome partitioning"
"285","D","COG1792","Cell shape-determining protein MreC","Cell cycle control, cell division, chromosome partitioning"
"286","D","COG2088","DNA-binding protein SpoVG, cell septation regulator","Cell cycle control, cell division, chromosome partitioning"
"287","D","COG4942","Septal ring factor EnvC, activator of murein hydrolases AmiA and AmiB","Cell cycle control, cell division, chromosome partitioning"
"288","D","COG5404","Cell division inhibitor SulA, prevents FtsZ ring assembly","Cell cycle control, cell division, chromosome partitioning"
"289","D","COG0218","GTP-binding protein EngB required for normal cell division","Cell cycle control, cell division, chromosome partitioning"
"290","D","COG5155","Separase, a protease involved in sister chromatid separation ","Cell cycle control, cell division, chromosome partitioning"
"291","D","COG2919","Cell division protein FtsB","Cell cycle control, cell division, chromosome partitioning"
"292","D","COG3087","Cell division protein FtsN","Cell cycle control, cell division, chromosome partitioning"
"293","D","COG5185","Protein involved in chromosome segregation, interacts with SMC proteins","Cell cycle control, cell division, chromosome partitioning"
"294","D","COG4326","Sporulation-control protein spo0M","Cell cycle control, cell division, chromosome partitioning"
"295","D","COG0850","Septum formation inhibitor MinC","Cell cycle control, cell division, chromosome partitioning"
"296","D","COG1077","Actin-like ATPase involved in cell morphogenesis","Cell cycle control, cell division, chromosome partitioning"
"297","D","COG1426","Cytoskeletal protein RodZ, contains Xre-like HTH and DUF4115 domains","Cell cycle control, cell division, chromosome partitioning"
"298","D","COG3827","Cell pole-organizing protein PopZ","Cell cycle control, cell division, chromosome partitioning"
"299","D","COG3116","Cell division protein FtsL, interacts with FtsB, FtsL and FtsQ","Cell cycle control, cell division, chromosome partitioning"
"300","D","COG1799","FtsZ-interacting cell division protein YlmF","Cell cycle control, cell division, chromosome partitioning"
"301","D","COG3266","Cell division protein DamX, binds to the septal ring, contains C-terminal SPOR domain","Cell cycle control, cell division, chromosome partitioning"
"302","D","COG5024","Cyclin ","Cell cycle control, cell division, chromosome partitioning"
"303","D","COG5261","Protein involved in regulation of cellular morphogenesis/cytokinesis ","Cell cycle control, cell division, chromosome partitioning"
"304","D","COG3599","Cell division septum initiation DivIVA, interacts with FtsZ, MinD and other proteins","Cell cycle control, cell division, chromosome partitioning"
"305","D","COG1475","Chromosome segregation protein Spo0J, contains ParB-like nuclease domain","Cell cycle control, cell division, chromosome partitioning"
"306","D","COG0851","Septum formation topological specificity factor MinE","Cell cycle control, cell division, chromosome partitioning"
"307","D","COG3858","Spore germination protein YaaH","Cell cycle control, cell division, chromosome partitioning"
"308","D","COG5333","Cdk activating kinase (CAK)/RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH/TFIIK, cyclin H subunit ","Cell cycle control, cell division, chromosome partitioning"
"309","D","COG0489","Chromosome partitioning ATPase, Mrp family, contains Fe-S cluster","Cell cycle control, cell division, chromosome partitioning"
"310","D","COG1196","Chromosome segregation ATPase","Cell cycle control, cell division, chromosome partitioning"
"311","D","COG3854","Stage III sporulation protein SpoIIIAA","Cell cycle control, cell division, chromosome partitioning"
"312","D","COG1589","Cell division septal protein FtsQ","Cell cycle control, cell division, chromosome partitioning"
"313","D","COG2450","Predicted archaeal cell division protein, SepF homolog, DUF552 family","Cell cycle control, cell division, chromosome partitioning"
